country,year,gdp_growth,gdp_total_bln,fdi_inflows_bln,export_volume_bln,import_volume_bln,unemployment_rate,inflation_rate
China,2000,8.5,1211.3,40.7,249.2,225.1,3.1,0.4
China,2001,8.3,1339.4,46.9,266.1,243.6,3.6,0.7
China,2002,9.1,1470.6,52.7,325.6,295.2,4.0,-0.8
China,2003,10.0,1660.3,53.5,438.2,412.8,4.3,1.2
China,2004,10.1,1955.3,60.6,593.3,561.2,4.2,3.9
China,2005,11.4,2285.9,72.4,761.9,659.9,4.2,1.8
China,2006,12.7,2752.1,72.7,968.9,791.5,4.1,1.5
China,2007,14.2,3552.2,83.5,1220.5,956.1,4.0,4.8
China,2008,9.7,4598.2,108.3,1430.7,1133.1,4.2,5.9
China,2009,9.4,5109.9,90.0,1201.6,1005.6,4.3,-0.7
China,2010,10.6,6087.2,114.7,1577.8,1396.2,4.1,3.3
China,2011,9.6,7551.5,124.0,1898.4,1743.5,4.1,5.4
China,2012,7.9,8532.2,121.1,2048.7,1818.4,4.1,2.6
China,2013,7.8,9570.4,123.9,2209.0,1949.9,4.1,2.6
China,2014,7.4,10475.6,128.5,2342.3,1959.2,4.1,2.0
China,2015,7.0,11061.6,135.6,2273.5,1679.6,4.1,1.4
China,2016,6.8,11233.3,133.7,2097.6,1587.9,4.0,2.0
China,2017,6.9,12310.4,136.3,2263.3,1843.8,3.9,1.6
China,2018,6.7,13894.8,138.3,2486.7,2135.6,3.8,2.1
China,2019,6.0,14279.9,141.2,2499.4,2078.4,3.6,2.9
China,2020,2.2,14687.7,149.3,2589.1,2055.6,4.2,2.5
China,2021,8.4,17734.1,181.0,3363.8,2687.5,3.9,0.9
China,2022,3.0,17963.2,189.1,3593.6,2716.0,4.2,2.0
China,2023,5.2,17520.0,163.3,3380.0,2550.0,4.1,0.2
Japan,2000,2.8,4968.4,8.3,479.2,379.6,4.7,-0.7
Japan,2001,0.4,4374.7,6.2,403.5,349.1,5.0,-0.7
Japan,2002,0.1,4182.8,9.2,416.7,336.4,5.4,-0.9
Japan,2003,1.5,4519.6,6.3,471.8,382.9,5.2,-0.3
Japan,2004,2.2,4893.1,7.8,565.5,454.5,4.7,-0.0
Japan,2005,1.8,4831.5,2.8,594.9,514.9,4.4,-0.3
Japan,2006,1.4,4601.7,-6.5,646.7,579.1,4.1,0.2
Japan,2007,1.5,4579.7,22.5,714.3,622.2,3.8,0.1
Japan,2008,-1.2,5106.7,24.4,782.0,762.5,4.0,1.4
Japan,2009,-5.7,5289.5,11.9,580.7,552.0,5.1,-1.3
Japan,2010,4.1,5759.1,7.3,769.8,692.8,5.1,-0.7
Japan,2011,0.0,6233.1,1.7,823.2,854.8,4.6,-0.3
Japan,2012,1.4,6272.4,1.7,798.6,885.8,4.3,-0.0
Japan,2013,2.0,5212.3,2.3,715.1,833.2,4.0,0.3
Japan,2014,0.3,4897.0,2.1,690.2,812.2,3.6,2.8
Japan,2015,1.6,4444.9,2.4,625.0,648.3,3.4,0.8
Japan,2016,0.8,5003.6,1.9,644.9,606.9,3.1,-0.1
Japan,2017,1.7,4930.8,1.9,698.1,671.9,2.8,0.5
Japan,2018,0.6,5037.8,2.5,738.2,748.5,2.4,1.0
Japan,2019,-0.4,5123.3,4.0,705.5,720.9,2.4,0.5
Japan,2020,-4.6,5040.1,6.1,641.4,635.4,2.8,-0.0
Japan,2021,2.1,4940.9,7.6,756.0,772.3,2.8,-0.2
Japan,2022,1.0,4231.1,8.1,746.9,897.2,2.6,2.5
Japan,2023,1.9,4210.0,9.2,710.5,790.0,2.5,3.2
South Korea,2000,9.1,574.8,9.0,172.3,160.5,4.4,2.3
South Korea,2001,4.9,547.7,4.0,150.4,141.1,4.0,4.1
South Korea,2002,7.7,627.0,3.1,162.5,152.1,3.3,2.8
South Korea,2003,3.1,703.4,3.5,193.8,178.8,3.6,3.5
South Korea,2004,5.2,793.1,9.0,253.8,224.5,3.7,3.6
South Korea,2005,4.3,934.7,7.0,284.4,261.2,3.7,2.8
South Korea,2006,5.3,1053.2,5.0,325.5,309.4,3.5,2.2
South Korea,2007,5.8,1172.5,2.6,371.5,356.8,3.2,2.5
South Korea,2008,3.0,1047.3,3.3,422.0,435.3,3.2,4.7
South Korea,2009,0.8,943.9,1.5,363.5,323.1,3.6,2.8
South Korea,2010,6.8,1144.1,1.2,466.4,425.2,3.7,2.9
South Korea,2011,3.7,1253.2,4.7,555.2,524.4,3.4,4.0
South Korea,2012,2.4,1278.4,4.9,547.9,519.6,3.2,2.2
South Korea,2013,3.2,1370.8,9.3,559.6,515.6,3.1,1.3
South Korea,2014,3.2,1484.3,9.0,572.7,525.5,3.5,1.3
South Korea,2015,2.8,1465.8,10.8,526.8,436.5,3.6,0.7
South Korea,2016,2.9,1500.1,12.1,495.4,406.1,3.7,1.0
South Korea,2017,3.2,1623.9,17.1,573.7,478.4,3.7,1.9
South Korea,2018,2.9,1725.4,14.4,604.9,535.2,3.8,1.5
South Korea,2019,2.2,1651.4,10.6,542.2,503.3,3.8,0.4
South Korea,2020,-0.7,1644.3,9.2,512.5,467.2,3.9,0.5
South Korea,2021,4.3,1811.0,16.8,644.4,615.1,3.7,2.5
South Korea,2022,2.6,1665.2,18.0,683.6,731.2,2.9,5.1
South Korea,2023,1.4,1710.0,15.2,632.0,642.0,2.7,3.6
Vietnam,2000,6.8,39.6,1.3,14.4,15.6,2.3,-1.7
Vietnam,2001,6.9,41.2,1.3,15.0,16.2,2.8,-0.4
Vietnam,2002,7.1,44.7,1.2,16.7,19.7,2.1,3.8
Vietnam,2003,7.3,50.2,1.4,20.1,25.2,2.2,3.2
Vietnam,2004,7.5,57.5,1.6,26.5,32.0,2.1,7.8
Vietnam,2005,7.5,66.0,1.9,32.4,36.8,2.1,8.3
Vietnam,2006,6.9,74.7,2.4,39.8,44.9,2.1,7.4
