country,region,year,rd_spending_bln,patents_filed,high_tech_exports_bln,researchers_per_1k,manufacturing_growth
USA,North America,2009,400.5,230000,140.2,8.2,-5.1
USA,North America,2010,410.2,245000,155.8,8.3,4.2
USA,North America,2011,425.6,260000,162.1,8.4,3.1
USA,North America,2012,440.1,275000,165.5,8.5,2.5
USA,North America,2013,460.3,287000,170.2,8.6,1.8
USA,North America,2014,480.9,300000,175.4,8.7,2.2
USA,North America,2015,502.1,310000,180.1,8.9,1.5
USA,North America,2016,525.4,325000,182.5,9.0,0.8
USA,North America,2017,550.8,340000,190.3,9.2,2.4
USA,North America,2018,580.2,355000,195.8,9.4,3.0
USA,North America,2019,610.5,370000,198.2,9.6,1.2
USA,North America,2020,640.1,380000,192.5,9.8,-2.5
USA,North America,2021,680.5,410000,210.4,10.1,4.5
USA,North America,2022,720.3,425000,215.6,10.4,2.1
USA,North America,2023,750.0,440000,225.0,10.6,1.8
Germany,Europe,2009,80.5,50000,160.5,7.1,-8.2
Germany,Europe,2010,85.2,52000,180.2,7.3,7.5
Germany,Europe,2011,90.1,54000,195.4,7.5,5.1
Germany,Europe,2012,95.3,55000,200.1,7.6,1.2
Germany,Europe,2013,100.2,57000,205.5,7.8,0.5
Germany,Europe,2014,105.4,59000,212.3,7.9,2.1
Germany,Europe,2015,110.5,62000,218.4,8.1,1.5
Germany,Europe,2016,115.6,64000,220.1,8.2,1.8
Germany,Europe,2017,122.1,66000,230.5,8.4,3.2
Germany,Europe,2018,128.5,68000,240.2,8.5,1.5
Germany,Europe,2019,135.0,69000,242.1,8.7,-0.5
Germany,Europe,2020,138.5,68000,225.4,8.9,-4.5
Germany,Europe,2021,145.2,71000,250.6,9.1,4.2
Germany,Europe,2022,152.0,73000,255.8,9.3,1.5
Germany,Europe,2023,158.5,75000,260.0,9.5,0.8
Japan,Asia,2009,140.2,290000,110.5,9.5,-10.5
Japan,Asia,2010,142.5,300000,130.2,9.6,9.5
Japan,Asia,2011,145.1,295000,125.4,9.7,-2.1
Japan,Asia,2012,148.5,305000,122.1,9.8,0.5
Japan,Asia,2013,152.0,310000,115.5,9.9,1.2
Japan,Asia,2014,155.4,320000,118.2,10.0,2.5
Japan,Asia,2015,160.1,325000,112.4,10.1,1.0
Japan,Asia,2016,162.5,320000,115.6,10.1,0.5
Japan,Asia,2017,165.8,315000,120.5,10.2,2.1
Japan,Asia,2018,170.2,312000,122.3,10.3,1.2
Japan,Asia,2019,172.5,310000,118.5,10.3,-1.5
Japan,Asia,2020,170.0,295000,105.4,10.4,-5.2
Japan,Asia,2021,175.5,305000,115.6,10.5,3.5
Japan,Asia,2022,180.1,310000,118.2,10.6,1.0
Japan,Asia,2023,185.0,315000,120.0,10.6,0.5
South Korea,Asia,2009,45.2,120000,110.2,5.5,0.5
South Korea,Asia,2010,50.1,130000,135.4,5.8,8.5
South Korea,Asia,2011,55.5,140000,142.1,6.2,4.2
South Korea,Asia,2012,60.2,150000,145.5,6.5,2.1
South Korea,Asia,2013,65.8,160000,152.3,6.8,1.8
South Korea,Asia,2014,70.5,170000,160.1,7.2,2.5
South Korea,Asia,2015,75.2,180000,165.4,7.5,1.5
South Korea,Asia,2016,80.1,190000,162.5,7.9,1.8
South Korea,Asia,2017,85.5,200000,175.2,8.2,3.5
South Korea,Asia,2018,92.0,210000,185.4,8.5,2.1
South Korea,Asia,2019,98.5,215000,180.5,8.8,1.2
South Korea,Asia,2020,105.2,220000,175.4,9.1,-0.5
South Korea,Asia,2021,115.5,235000,195.6,9.5,4.5
South Korea,Asia,2022,122.1,245000,205.2,9.8,2.2
South Korea,Asia,2023,130.0,260000,215.0,10.2,1.8
China,Asia,2009,120.5,200000,350.2,2.1,10.5
China,Asia,2010,145.2,250000,410.5,2.3,12.2
China,Asia,2011,175.8,320000,450.1,2.6,10.1
China,Asia,2012,210.5,400000,480.5,2.9,8.5
China,Asia,2013,250.2,500000,520.2,3.2,8.1
China,Asia,2014,290.5,650000,560.4,3.6,7.5
China,Asia,2015,340.1,800000,580.1,4.0,6.8
China,Asia,2016,390.5,1000000,610.5,4.5,6.5
China,Asia,2017,440.2,1200000,650.2,5.0,6.8
China,Asia,2018,500.5,1400000,700.5,5.6,6.2
China,Asia,2019,550.8,1500000,720.1,6.1,5.5
China,Asia,2020,600.2,1600000,750.5,6.7,2.5
China,Asia,2021,680.5,1800000,850.2,7.3,8.1
China,Asia,2022,740.1,1950000,900.5,7.9,3.5
China,Asia,2023,800.0,2100000,940.0,8.5,4.2
UK,Europe,2009,40.2,20000,55.2,7.5,-4.5
UK,Europe,2010,42.5,21000,60.1,7.6,3.1
UK,Europe,2011,44.1,22000,62.5,7.7,1.5
UK,Europe,2012,46.5,23000,65.2,7.9,1.1
UK,Europe,2013,48.2,24000,66.8,8.0,1.8
