country,year,fdi_bln,unemployment_rate,inflation_rate,gov_debt_pct,tech_exports_bln,analyst_note
China,1980,8.73,3.14,5.18,27.18,5.42, stable_growth 
China,1981,20.98,4.02,0.3,19.19,4.86, steady 
China,1982,30.05,5.87,7.03,36.3,10.68, stable_growth 
China,1983,41.73,4.43,4.01,33,11.96,NA
China,1984,25.54,4.47,2.64,32.01,14.15,CRISIS_watch
China,1985,33.56,3.12,5.85,27.38,16.48,recession Warning
China,1986,46.99,3.23,5.51,38.39,16.35,CRISIS_watch
China,1987,41.11,2.83,2.79,44.2,21.98,CRISIS_watch
China,1988,39.73,1.69,6.34,35.69,25.17,CRISIS_watch
China,1989,70.05,2.29,3.01,40.06,24.01,NA
China,1990,77.71,4.91,0.95,32.9,24.81, stable_growth 
China,1991,58.87,3.68,5.33,50.84,24.85, stable_growth 
China,1992,91.42,3.97,3.46,42.24,28.85, stable_growth 
China,1993,105.98,5.76,-0.28,45.43,30.56, stable_growth 
China,1994,88.33,5.15,5.66,49.29,32.79,recession Warning
China,1995,92.33,2,2.91,40.79,34.4, stable_growth 
China,1996,107.95,5.67,5.54,48.53,9.54, steady 
China,1997,100.43,3.46,-1.2,47.1,20.17, stable_growth 
China,1998,100.28,2.77,2.83,50.38,15.59, steady 
China,1999,110.27,7.67,0.7,51.6,34.72, steady 
China,2000,129.48,1.38,0.69,54.38,40.67, stable_growth 
China,2001,74.17,4.19,8,55.44,53.09, stable_growth 
China,2002,72.92,4.81,5.89,56.99,68.72,recession Warning
China,2003,72.68,2.77,-2.02,59.77,95.62, stable_growth 
China,2004,144.89,4.34,4.46,57.05,110.62, stable_growth 
China,2005,133.6,1.97,-0.95,61.64,129.91,NA
China,2006,206.31,4.45,1.95,68.14,155.68, stable_growth 
China,2007,232.82,5.6,4.76,77.28,190.04, steady 
China,2008,285.62,3.64,2.61,72.16,205.37, steady 
China,2009,329.96,3.71,3.32,65.43,252.46, stable_growth 
China,2010,384.13,3.5,6.95,68.75,276.56,recession Warning
China,2011,420.41,4.73,6.22,71.12,317.9,NA
China,2012,485.85,4.84,1.72,78.88,352.56, steady 
China,2013,477.26,3.51,3.66,66.36,394.44,CRISIS_watch
China,2014,597.63,1.42,5.16,77.03,444.68,recession Warning
China,2015,616.46,5.69,0.7,82.44,490.71, stable_growth 
China,2016,693.36,5.28,1.04,74.97,540.79,NA
