country,year,gdp_growth_pct,export_vol_bln,interest_rate,housing_price_idx
China,1973,11.56,24.66,6.13,18.94
China,1974,8.65,39.19,8.92,28.54
China,1975,10.04,48.21,7.34,15.86
China,1976,10.45,72.15,10.21,27.07
China,1977,10.11,49.37,4.73,31.44
China,1978,9.34,64.13,8.67,33.95
China,1979,11.77,91.24,6.95,37.64
China,1980,9.36,116.38,10.93,39.2
China,1981,12.53,129.07,8.85,38.25
China,1982,9.41,130.52,5.95,60.83
China,1983,11.46,148.42,5.38,42.66
China,1984,12.93,193.76,8.46,59.61
China,1985,7.42,215.43,7.39,52.73
China,1986,9.08,226.95,7.83,51.35
China,1987,9.3,268.21,7.67,66.66
China,1988,10.45,279.12,9.31,79.5
China,1989,9.07,300.62,5.85,75.68
China,1990,5.52,339.49,7.96,68.79
China,1991,5.84,373.6,4.82,77.89
China,1992,11.48,391.6,3.99,80.83
China,1993,9.04,441.49,1.16,83.85
China,1994,6.83,476.61,3.6,98.97
China,1995,9.24,524.91,5.23,111.14
China,1996,11.32,555.49,5.17,95.51
China,1997,12.34,608.02,4.68,112.01
China,1998,8.85,652.56,6.12,107.3
China,1999,9.11,690.01,1.28,122.47
China,2000,6.86,739.56,2.35,123.08
China,2001,10.19,812.62,3.97,126.71
China,2002,8.54,854.68,4.22,136.28
China,2003,10.18,906.75,3.2,148.89
China,2004,10.56,945.38,5.8,149.33
China,2005,11.05,991.6,0.94,146.1
China,2006,8.59,1062.51,2.48,156.9
China,2007,10.26,1115.86,6.41,152.82
China,2008,6.92,1211.05,1.08,167.7
China,2009,8.32,1217.48,2.42,173.18
China,2010,7,1297.97,2.27,177.19
China,2011,7.26,1379.64,1.75,178.5
China,2012,7.25,1410.21,0.84,185.29
China,2013,4.62,1496.6,2.08,189.42
China,2014,8.05,1572.14,2.19,200.82
China,2015,7.02,1637.8,1.79,202.84
China,2016,5.97,1703.48,3.42,209.06
China,2017,6.7,1785.98,3.81,213.64
China,2018,5.03,1876.59,0.51,229.17
China,2019,4.9,1927.32,1.9,230.55
China,2020,6.05,2034.15,0.27,231.94
China,2021,4.8,2109.94,0.96,244.25
China,2022,6.19,2170.83,1.07,245.8
China,2023,7.3,2252.19,1.36,255.63
South Korea,1973,6.41,59.23,10.51,29.79
South Korea,1974,9.63,71.71,7.86,18.38
South Korea,1975,12.2,85.11,6.64,27.86
South Korea,1976,8.6,96.94,5.95,22.73
South Korea,1977,5.83,113.7,10.6,36.26
South Korea,1978,5.99,139.03,9.52,29.74
South Korea,1979,7.93,144.52,10.96,31.22
South Korea,1980,10.62,158.08,6.76,45.69
South Korea,1981,9.5,170.61,8.52,42.28
South Korea,1982,3.72,187.52,5.83,39.52
South Korea,1983,6.6,204.58,8.17,46.11
South Korea,1984,7.98,213.21,6.31,61.04
South Korea,1985,5.08,240.71,8.78,60.41
South Korea,1986,9.39,250.49,7.92,63.56
South Korea,1987,3.08,272.33,10.89,70.58
South Korea,1988,8.29,284.95,8.63,70.24
South Korea,1989,7.22,302.07,7.19,56.7
South Korea,1990,7.02,303.32,3.47,75.26
South Korea,1991,7.43,327.9,3.61,71.92
South Korea,1992,8.63,338.19,4.76,77.24
South Korea,1993,8.79,354.77,5.71,77.09
South Korea,1994,7.55,367,7.1,90.2
South Korea,1995,4.15,386.08,5.15,103.23
South Korea,1996,5.12,400.47,7,97.46
South Korea,1997,3.45,404.4,5.91,107.38
South Korea,1998,2.96,434.26,4.5,100.55
South Korea,1999,2.97,445.77,4.38,102.1
South Korea,2000,2.18,455.14,6.9,111.69
South Korea,2001,1.68,469.49,2.48,104.71
South Korea,2002,4.42,486.55,4.1,107.71
South Korea,2003,2.29,497.08,4.29,102.51
South Korea,2004,1.44,520.69,0.49,109.91
South Korea,2005,2.74,542.51,3.47,122.42
South Korea,2006,2.3,550.96,4.52,128.17
South Korea,2007,0.21,567.64,-0.24,129.13
South Korea,2008,3.06,572.58,3.06,124.11
South Korea,2009,3.75,587.3,1.59,131.09
South Korea,2010,3.94,605.52,1.04,136.33
South Korea,2011,4.09,628.61,1.05,148.43
South Korea,2012,2,635.58,1.57,148.36
South Korea,2013,3.01,657.79,1.63,146.25
South Korea,2014,1.99,668.91,2.85,145.37
South Korea,2015,2.55,686.92,1.08,156.01
South Korea,2016,1.69,694.8,2.48,150.86
South Korea,2017,1.83,710.26,0.87,159.68
